Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,Vll ab mean,Vll bc mean,Vll ca mean,I a mean,I b mean,I c mean,Vll avg mean,I avg mean
31-12-2022 0:15:00000,607.378235,92.239723,0.000000,0.000000,23233.846,23290.307,23233.197,60.444878,61.398022,61.476261,23252.479,61.106354
31-12-2022 0:30:00000,607.366333,102.494438,0.000000,0.000000,23218.537,23274.746,23216.533,60.634911,61.596115,61.687813,23236.631,61.306282
31-12-2022 0:45:00000,607.318176,106.296577,0.000000,0.000000,23240.709,23295.787,23234.193,60.592148,61.578251,61.717926,23256.914,61.296146
31-12-2022 1:00:00000,607.382690,95.651833,0.000000,0.000000,23243.662,23299.623,23234.963,60.401310,61.382439,61.582066,23259.418,61.121868
31-12-2022 1:15:00000,607.401062,98.727852,0.000000,0.000000,23220.340,23275.189,23213.043,60.524357,61.519405,61.673218,23236.195,61.239014
31-12-2022 1:30:00000,607.137878,107.376617,0.000000,0.000000,23237.039,23291.090,23227.346,60.579578,61.591099,61.762325,23251.795,61.310974
31-12-2022 1:45:00000,607.137329,101.613472,0.000000,0.000000,23245.593750,23301.082,23235.059,60.458458,61.451698,61.666542,23260.570,61.192200
31-12-2022 2:00:00000,607.300659,87.315117,0.000000,0.000000,23240.832,23296.676,23232.604,60.274143,61.261604,61.454548,23256.718750,60.996777
31-12-2022 2:15:00000,607.310974,103.588791,0.000000,0.000000,23203.617,23261.684,23206.332,60.726273,61.637798,61.688389,23223.887,61.350838
31-12-2022 2:30:00000,607.200500,118.059769,0.000000,0.000000,23257.904,23323.629,23271.852,60.942528,61.690250,61.693855,23284.449,61.442200
31-12-2022 2:45:00000,607.466248,54.616356,0.000000,0.000000,23223.635,23305.574,23257.555,60.293610,60.713104,60.809872,23262.256,60.605595
31-12-2022 3:00:00000,607.331543,51.974949,0.000000,0.000000,23209.898,23290.113,23242.539,60.273457,60.726120,60.813625,23247.504,60.604435
31-12-2022 3:15:00000,607.360596,51.561398,0.000000,0.000000,23215.639,23296.473,23249.275,60.266926,60.703400,60.791115,23253.793,60.587158
31-12-2022 3:30:00000,607.391418,45.380104,0.000000,0.000000,23211.014,23291.334,23245.461,60.230591,60.673615,60.749874,23249.260,60.551319
31-12-2022 3:45:00000,607.266296,47.735096,0.000000,0.000000,23210.893,23290.818,23244.031250,60.229168,60.682175,60.765606,23248.559,60.559002
31-12-2022 4:00:00000,607.310242,47.566238,0.000000,0.000000,23213.061,23294.207,23246.221,60.229187,60.662674,60.771503,23251.176,60.554432
31-12-2022 4:15:00000,607.320618,46.891132,0.000000,0.000000,23213.004,23294.230,23246.387,60.222023,60.658894,60.764999,23251.182,60.548641
31-12-2022 4:30:00000,607.275696,42.542492,0.000000,0.000000,23211.490,23293.355,23245.035,60.189987,60.616879,60.741016,23249.957,60.515965
31-12-2022 4:45:00000,607.270203,37.524521,0.000000,0.000000,23215.752,23297.854,23249.082,60.141747,60.567005,60.706085,23254.232,60.471615
31-12-2022 5:00:00000,607.271667,35.954659,0.000000,0.000000,23210.803,23292.574,23243.961,60.140007,60.572048,60.710392,23249.115,60.474205
31-12-2022 5:15:00000,607.305237,38.575623,0.000000,0.000000,23209.309,23291.437500,23240.998,60.155598,60.589779,60.751751,23247.254,60.499073
31-12-2022 5:30:00000,607.324463,39.222393,0.000000,0.000000,23213.479,23294.842,23243.904,60.141674,60.590385,60.756279,23250.746,60.496120
31-12-2022 5:45:00000,607.376099,41.437160,0.000000,0.000000,23210.061,23290.578,23240.004,60.166065,60.629177,60.782600,23246.883,60.525963
31-12-2022 6:00:00000,607.323425,45.503204,0.000000,0.000000,23214.998,23295.713,23245.629,60.186745,60.640564,60.780910,23252.131,60.536095
31-12-2022 6:15:00000,607.326233,51.455563,0.000000,0.000000,23207.968750,23288.480,23238.410,60.255238,60.711033,60.841995,23244.955,60.602787
31-12-2022 6:30:00000,607.114319,80.205307,0.000000,0.000000,23223.650,23304.850,23254.660,60.640175,61.095951,61.192097,23261.053,60.976006
31-12-2022 6:45:00000,607.153015,68.892792,0.000000,0.000000,23207.441,23289.461,23239.625000,60.571327,61.014416,61.126923,23245.504,60.904202
31-12-2022 7:00:00000,478.815369,31.137148,0.000000,0.000000,23217.049,23297.150,23247.500000,47.398689,47.823868,47.889511,23253.889,47.704098
31-12-2022 7:15:00000,607.265686,29.486143,0.000000,0.000000,23217.457,23296.674,23245.936,60.040192,60.536106,60.701508,23253.355,60.425896
31-12-2022 7:30:00000,607.166687,17.411028,0.000000,0.000000,23218.020,23298.518,23247.955,59.988914,60.463585,60.651028,23254.842,60.367859
31-12-2022 7:45:00000,607.144348,9.239606,0.000000,0.000000,23212.613,23295.336,23241.838,59.969822,60.421787,60.677570,23249.914,60.356384
31-12-2022 8:00:00000,607.338135,16.621456,0.000000,0.000000,23212.877,23293.785,23241.059,59.998890,60.478786,60.699242,23249.236,60.392323
31-12-2022 8:15:00000,578.271118,42.604549,0.000000,0.000000,23192.971,23277.945,23231.539,57.507114,57.754234,57.868061,23234.148,57.709839
31-12-2022 8:30:00000,573.344666,26.763235,0.000000,0.877626,23232.496,23315.885,23266.971,56.763390,57.094734,57.253151,23271.781250,57.037086
31-12-2022 8:45:00000,607.379028,7.217431,0.000000,3.445977,23212.365,23299.482,23251.709,60.073601,60.451035,60.611885,23254.531250,60.378819
31-12-2022 9:00:00000,607.282837,4.025748,0.000000,0.132740,23203.303,23292.732,23243.883,60.078793,60.421871,60.612057,23246.643,60.370968
31-12-2022 9:15:00000,607.390869,23.616920,0.000000,0.000000,23199.303,23287.932,23238.453,60.156700,60.511364,60.665764,23241.898,60.444557
31-12-2022 9:30:00000,607.413025,28.895678,0.000000,0.000000,23212.211,23302.285,23252.824,60.162239,60.489677,60.641655,23255.797,60.431194
31-12-2022 9:45:00000,607.335876,21.487404,0.000000,0.000000,23201.385,23292.971,23243.592,60.154465,60.457855,60.631058,23245.975,60.414444
31-12-2022 10:00:00000,570.480347,28.530832,0.000000,0.000000,23201.104,23293.416,23250.467,56.678200,56.783947,56.903835,23248.340,56.788692
31-12-2022 10:15:00000,558.071899,42.595596,0.000000,0.000000,23190.564,23285.172,23245.816,55.672390,55.643936,55.717121,23240.512,55.677830
31-12-2022 10:30:00000,558.025940,41.074001,0.000000,0.000000,23222.240,23316.910,23279.244,55.608593,55.569153,55.620243,23272.779,55.599319
31-12-2022 10:45:00000,558.118225,0.842205,0.000000,5.472591,23209.682,23307.184,23268.494,55.466106,55.371464,55.560036,23261.789,55.465878
31-12-2022 11:00:00000,558.125427,27.349804,0.000000,0.000000,23221.947,23315.449,23281.496,55.532429,55.492386,55.515499,23272.975,55.513454
31-12-2022 11:15:00000,558.201416,52.920147,0.000000,0.000000,23230.578,23324.064,23289.584,55.710075,55.674110,55.644173,23281.418,55.676109
31-12-2022 11:30:00000,558.098816,53.351639,0.000000,0.000000,23236.687500,23331.066,23296.107,55.690338,55.642345,55.625820,23287.955,55.652847
31-12-2022 11:45:00000,557.988647,110.322845,0.000000,0.000000,23189.150,23260.549,23234.664,56.554840,56.968819,56.589691,23228.123,56.704472
31-12-2022 12:00:00000,557.908875,135.788696,0.000000,0.000000,23240.855,23311.797,23288.660,56.958473,57.395321,56.913338,23280.426,57.089092
31-12-2022 12:15:00000,557.865479,108.749809,0.000000,0.000000,23184.223,23258.340,23235.668,56.540821,56.887589,56.465477,23226.033,56.631313
31-12-2022 12:30:00000,558.111938,103.356613,0.000000,0.000000,23183.627,23257.471,23234.789,56.459103,56.805809,56.392269,23225.293,56.552383
31-12-2022 12:45:00000,558.020874,61.639694,0.000000,0.000000,23083.812500,23160.338,23134.678,56.128456,56.401398,56.141571,23126.264,56.223801
31-12-2022 13:00:00000,558.038147,44.921791,0.000000,0.000000,23071.410,23148.093750,23124.238,55.964561,56.214062,55.964500,23114.580,56.047718
31-12-2022 13:15:00000,558.110107,65.860687,0.000000,0.000000,23141.918,23217.123,23192.646,55.987419,56.276524,55.982132,23183.889,56.081993
31-12-2022 13:30:00000,558.044495,65.815186,0.000000,0.000000,23141.793,23216.738,23191.156250,55.970219,56.271389,55.993793,23183.248,56.078468
31-12-2022 13:45:00000,557.949951,83.694130,0.000000,0.000000,23210.629,23285.328,23252.367,55.989258,56.335171,56.132141,23249.432,56.152214
31-12-2022 14:00:00000,557.992126,84.751389,0.000000,0.000000,23199.707,23277.574,23243.639,56.063038,56.352669,56.174923,23240.303,56.196915
31-12-2022 14:15:00000,558.071655,95.351547,0.000000,0.000000,23217.527,23294.012,23261.531250,56.203545,56.511559,56.287128,23257.684,56.334042
31-12-2022 14:30:00000,558.106750,84.126801,0.000000,0.000000,23214.307,23293.402,23254.359,56.017040,56.284245,56.197998,23254.016,56.166401
31-12-2022 14:45:00000,558.094727,73.866196,0.000000,0.000000,23225.439,23308.213,23262.143,55.837635,56.054024,56.110062,23265.279,56.000568
31-12-2022 15:00:00000,558.040710,56.417484,0.000000,0.000000,23215.535,23298.930,23259.203,55.683472,55.864883,55.860920,23257.873,55.803089
31-12-2022 15:15:00000,558.210693,43.618046,0.000000,0.000000,23213.689,23300.854,23262.078,55.626415,55.724731,55.750729,23258.873,55.700634
31-12-2022 15:30:00000,558.139648,42.220169,0.000000,0.000000,23205.230,23293.480,23256.631,55.648792,55.716042,55.726097,23251.793,55.696987
31-12-2022 15:45:00000,557.830200,120.107079,0.000000,0.000000,23242.604,23329.625000,23291.664,56.732372,56.898727,56.770813,23287.988,56.800617
31-12-2022 16:00:00000,557.632935,148.849792,0.000000,0.000000,23262.027,23347.154,23310.684,57.258198,57.487492,57.267727,23306.609,57.337822
31-12-2022 16:15:00000,557.724121,150.465469,0.000000,0.000000,23288.590,23371.352,23331.111,57.208725,57.483440,57.313225,23330.367,57.335140
31-12-2022 16:30:00000,557.718384,134.246033,0.000000,0.000000,23295.553,23379.218750,23335.795,56.795357,57.052544,56.973381,23336.867,56.940456
31-12-2022 16:45:00000,557.704285,124.632408,0.000000,0.000000,23275.404,23359.662,23316.045,56.629322,56.875954,56.827251,23317.043,56.777500
31-12-2022 17:00:00000,557.730713,129.257172,0.000000,0.000000,23277.945,23363.854,23321.437500,56.761234,56.974396,56.895866,23321.084,56.877178
31-12-2022 17:15:00000,558.081787,58.841995,0.000000,0.000000,23250.078,23335.617,23293.539,55.762020,55.933846,55.963280,23293.084,55.886406
31-12-2022 17:30:00000,558.190491,88.666565,0.000000,0.000000,23257.820,23341.650,23299.111,56.060070,56.263302,56.220699,23299.525,56.181366
31-12-2022 17:45:00000,558.236023,78.863327,0.000000,0.000000,23239.951,23325.100,23282.082,56.001179,56.174606,56.166012,23282.371,56.113914
31-12-2022 18:00:00000,558.283691,30.608866,0.000000,0.000000,23135.861,23223.824,23184.408,55.750252,55.845703,55.908325,23181.373,55.834743
31-12-2022 18:15:00000,558.309082,38.839886,0.000000,0.000000,23179.561,23268.195,23228.699,55.712284,55.789413,55.837143,23225.479,55.779549
31-12-2022 18:30:00000,558.294373,33.979748,0.000000,0.000000,23181.781250,23269.559,23232.820,55.681995,55.760605,55.773197,23228.049,55.738617
31-12-2022 18:45:00000,558.239563,26.378008,0.000000,0.000000,23171.828,23258.213,23227.832,55.677109,55.753975,55.684505,23219.289,55.705269
31-12-2022 19:00:00000,558.247925,26.193850,0.000000,0.000000,23172.154,23259.145,23228.920,55.683037,55.746185,55.675949,23220.066,55.701664
31-12-2022 19:15:00000,558.296814,26.220310,0.000000,0.000000,23169.680,23255.277,23225.535,55.684448,55.769604,55.684223,23216.846,55.712734
31-12-2022 19:30:00000,558.280212,32.917465,0.000000,0.000000,23187.187500,23272.246,23239.238,55.670845,55.780338,55.718269,23232.869,55.723194
31-12-2022 19:45:00000,558.467224,7.276815,0.000000,0.001686,23179.174,23262.963,23229.455,55.558277,55.690838,55.680450,23223.865,55.643139
31-12-2022 20:00:00000,558.530396,20.984591,0.000000,1.124610,23173.633,23259.240,23224.570,55.695007,55.760677,55.782013,23219.141,55.745895
31-12-2022 20:15:00000,560.590271,0.740047,0.000000,27.832479,23177.365,23263.203,23216.566,55.727352,55.962616,56.203182,23219.051,55.964401
31-12-2022 20:30:00000,568.287598,4.941504,0.000000,19.774605,23179.518,23264.521,23209.633,56.366753,56.728924,57.036568,23217.896,56.710758
31-12-2022 20:45:00000,575.954651,6.265037,0.000000,17.553440,23177.510,23262.414,23212.092,57.157391,57.505127,57.736866,23217.350,57.466442
31-12-2022 21:00:00000,597.076050,9.189423,0.000000,15.589112,23180.629,23267.086,23220.980,59.275398,59.607109,59.768749,23222.924,59.550400
31-12-2022 21:15:00000,603.329773,7.413326,0.000000,18.923319,23174.771,23264.593750,23223.385,59.977695,60.225910,60.347679,23220.936,60.183739
31-12-2022 21:30:00000,607.364502,3.658720,0.000000,25.258877,23172.301,23263.861,23222.533,60.407585,60.633163,60.783867,23219.555,60.608208
31-12-2022 21:45:00000,607.591797,1.068634,0.000000,36.975384,23171.355,23262.998,23224.059,60.518032,60.729626,60.869244,23219.453,60.705681
31-12-2022 22:00:00000,607.495300,1.512938,0.000000,38.690403,23171.064,23260.343750,23222.037,60.510849,60.765339,60.885075,23217.820,60.720425
31-12-2022 22:15:00000,607.449829,3.002129,0.000000,28.990629,23171.012,23258.555,23219.711,60.422977,60.714912,60.812836,23216.400,60.650269
31-12-2022 22:30:00000,607.474121,1.667361,0.000000,33.209846,23175.877,23265.320,23221.570,60.409683,60.700321,60.881653,23220.936,60.663864
31-12-2022 22:45:00000,607.430847,0.981827,0.000000,42.471466,23177.592,23267.500000,23220.980,60.446644,60.754570,60.985508,23222.039,60.728924
31-12-2022 23:00:00000,607.354980,0.041122,0.000000,58.428108,23171.490,23263.336,23214.461,60.569977,60.865620,61.164806,23216.424,60.866783
31-12-2022 23:15:00000,607.516968,0.121504,0.000000,60.311867,23166.812500,23258.914,23207.408,60.597889,60.908901,61.242031,23211.047,60.916309
31-12-2022 23:30:00000,607.527893,1.863129,0.000000,37.486202,23176.418,23265.232,23212.422,60.372257,60.745506,61.034912,23218.021,60.717545
31-12-2022 23:45:00000,607.424988,0.702596,0.000000,46.674034,23181.326,23268.828,23213.998,60.374714,60.803936,61.118259,23221.385,60.765644
01-01-2023 0:00:00000,607.416321,0.094063,0.000000,57.548607,23174.883,23261.609,23207.668,60.474766,60.923130,61.229954,23214.705,60.875988
01-01-2023 0:15:00000,607.506836,0.029051,0.000000,60.864304,23172.596,23260.059,23204.869,60.510826,60.954815,61.288147,23212.516,60.917992
01-01-2023 0:30:00000,607.508911,1.039232,0.000000,41.653625,23182.240,23272.047,23215.303,60.351513,60.740665,61.090794,23223.184,60.727676
01-01-2023 0:45:00000,607.528198,0.851911,0.000000,42.565338,23173.133,23264.656250,23207.988,60.399956,60.753052,61.119183,23215.268,60.757343
